name,brand,type,composition,skintype,image
Neutrogena Oil-Free Acne Wash,Neutrogena,Facewash,"Salicylic Acid, Water, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Chloride, PEG-80 Sorbitan Laurate, C12-15 Alkyl Lactate, Benzalkonium Chloride, Disodium EDTA, Fragrance, Cocamidopropyl Pg-Dimonium Chloride Phosphate, Propylene Glycol, Aloe Barbadensis Leaf Extract, Anthemis Nobilis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Sodium Hydroxide, Citric Acid, Yellow 5, Red 40",Oily,
HADA LABO Gokujyun Premium Ultimate Moisturizing Lotion,Hada Labo,Toner,"Aqua (Water), Butylene Glycol, PPG-10 Methyl Glucose Ether, Hydroxyethyl Urea, Diglycerin, PEG-32, Triethyl Citrate, Glycosyl Trehalose, Urea, Sorbitol, Carbomer, PEG-75, Diethoxyethyl Succinate, Phenoxyethanol, Disodium Succinate, Sodium Hyaluronate, Potassium Hydroxide, Polyquaternium-51, Hexylglycerin, Disodium EDTA, Succinic Acid, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Ammonium Acrylates Crosspolymer, Hydroxypropyltrimonium Hyaluronate, Pentylene Glycol, Sodium Hyaluronate Crosspolymer, Methylparaben",Dry,
Cerave Moisturizing Cream,Cerave,Moisturizer,"Aqua, Glycerin, Cetearyl Alcohol, Caprylic/​Capric Triglyceride, Cetyl Alcohol, Ceteareth-20, Ceramide NP, Ceramide AP, Ceramide EOP, Phytosphingosine, Cholesterol, Hyaluronic Acid, Sodium Lauroyl Lactylate, Dimethicone, Petrolatum, Behentrimonium Methosulfate, Potassium Phosphate, Dipotassium Phosphate, Phenoxyethanol, Methylparaben, Propylparaben, Disodium EDTA, Carbomer, Xanthan Gum",Normal,
CeraVe Hydrating Cream-to-Foam Cleanser,Cerave,Facewash,"Aqua/​Water/​Eau, Glycerin, Sodium Methyl Cocoyl Taurate, Coco-Betaine, Sodium Cocoyl Isethionate, Sodium Chloride, Pca, PPG-5-Ceteth-20, PEG-100 Stearate, PEG-150 Pentaerythrityl Tetrastearate, PEG-6 Caprylic/​Capric Glycerides, PEG-30 Dipolyhydroxystearate, Ci 77891/​Titanium Dioxide, Aspartic Acid, Ceramide NP, Ceramide AP, Ceramide EOP, Sorbitan Isostearate, Carbomer, Glycol Distearate, Glyceryl Stearate, Glyceryl Oleate, Glycine, Trideceth-6, Cetearyl Alcohol, Behentrimonium Methosulfate, Threonine, Sodium Hydroxide, Salicylic Acid, Sodium PCA, Sodium Lactate, Arginine, Sodium Lauroyl Lactylate, Serine, Sodium Benzoate, Valine, Sodium Hyaluronate, Proline, Isoleucine, Cholesterol, Phenoxyethanol, Alanine, Phenylalanine, Coconut Acid, Coco-Glucoside, Chlorphenesin, Disodium EDTA, Hydroxyethyl Urea, Citric Acid, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Phytosphingosine, Xanthan Gum, Histidine, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Polyquaternium-53, Polyquaternium-39, Polysorbate 60, Ethylhexylglycerin, Benzoic Acid",Combination,
SKINTIFIC Ultra Light Serum Sunscreen,Skintific,Sunscreen,"Water, Cyclopentasiloxane, Homosalate, Butylene Glycol, Caprylyl Methicone, Ethylhexyl Salicylate, Dibutyl Adipate, Disiloxane, Methyl Methacrylate Crosspolymer, Ferulic Acid, Ascorbic Acid, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ceramide AP, Ceramide AS, Ceramide NS, Ceramide NG, Ceramide EOP, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, 1,2-Hexanediol, Polymethylsilsesquioxane, Dimethicone, Lauryl PEG-10 Tris(Trimethylsiloxy)silylethyl Dimethicone, Magnesium Sulfate, Stearic Acid, Aluminum Hydroxide, Sorbitan Caprylate, Silica Dimethyl Silylate, Glyceryl Caprylate, Cetearyl Dimethicone Crosspolymer, Ethylhexylglycerin, Tocopheryl Acetate, Glycerin, Hydrogenated Lecithin, Ceramide NP, Tocopherol, Dipropylene Glycol, Pentylene Glycol, Glyceryl Stearate, Sucrose Distearate, Ficus Carica (Fig) Fruit Extract, Centella Asiatica Extract, Sodium Acetylated Hyaluronate, Cholesterol",Sensitive,
Cetaphil Gentle Cleanser,Cetaphil,Facewash,"Water, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid","Oily, Dry, Normal, Combination, Sensitive",
Cerave Foaming Facial Cleanser,Cerave,Facewash,"Purified Water, Glycerin, Behentrimonium Methosulfate, Cetearyl Alcohol, Ceramide 3, Ceramide 6 II, Ceramide 1, Hyaluronic Acid, Cholesterol, Polyoxyl 40 Stearate, Glyceryl Monostearate, Stearyl Alcohol, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Cetyl Alcohol, Disodium EDTA, Phytosphingosine, Methylparaben, Propylparaben, Carbomer, Xanthan Gum","Oily, Normal, Sensitive",
Senka Perfect Whip Acne Care,Senka,Facewash,"Water (Aqua), Stearic Acid, Myristic Acid, PEG-8, Potassium Hydroxide, Lauric Acid, Glycerin, Dipropylene Glycol, Alcohol, Salicylic Acid, Beeswax (Cera Alba), Polyquaternium-7, Fragrance (Parfum), Disodium EDTA, PEG-90M, Chromium Oxide Greens (Ci 77288), Sodium Benzoate, Sodium Metabisulfite, Sodium Metaphosphate, Iron Oxides (Ci 77492)･Iron Oxides (Ci 77491), PEG/​PPG-14/​7 Dimethyl Ether, Sodium Hyaluronate, Butylene Glycol, Sericin, Citric Acid, Potassium Sorbate, Sodium Acetylated Hyaluronate, Silica, BHT, Chamomilla Recutita (Matricaria) Flower Extract",Oily,
La Roche Posay Effaclar Purifying Foaming Gel ,La Roche Posay ,Facewash,"Water, Sodium Laureth Sulfate, Peg-8, Coco-Betaine, Hexylene Glycol, Sodium Chloride, Peg-120 Methyl Glucose Dioleate, Zinc Pca, Sodium Hydroxide, Citric Acid, Sodium Benzoate, Phenoxyethanol, Caprylyl Glycol, Parfum/​Fragrance","Oily, Sensitive",
Emina Face Wash Ms Pimple Acne Solution,Emina,Facewash,"Aqua, Propylene Glycol, Sodium Laureth Sulfate, Acrylates Copolymer, Hydroxyethylcellulose, Cocamidopropyl Betaine, Zinc Gluconate, Salicylic Acid, Triethanolamine, Dmdm Hydantoin, Sodium Chloride, Allantoin, Fragrance, Phenoxyethanol, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Ethylhexylglycerin, Polysorbate 20, Ci 19140, Ci 42090",Oily,
